IAP_ID,Date,rm_id,client_id,iap_amount
IAP_000120,2026-05-29,RM_0021,CL_00048,31385.07
IAP_001309,2026-04-24,RM_0002,CL_00618,90694.6
IAP_001912,2026-07-02,RM_0059,CL_00208,35929.62
IAP_000669,2026-06-30,RM_0039,CL_00885,92470.61
IAP_001768,2026-04-28,RM_0007,CL_00452,43997.27
IAP_001168,2026-05-23,RM_0027,CL_00563,24021.65
IAP_000619,2026-04-12,RM_0004,CL_00560,43557.52
IAP_000639,2026-06-27,RM_0021,CL_00311,95016.5
IAP_001260,2026-05-17,RM_0028,CL_00533,96440.29
IAP_000624,2026-05-22,RM_0033,CL_00071,82656.31
IAP_001590,2026-06-13,RM_0006,CL_00405,28654.11
IAP_000823,2026-04-12,RM_0027,CL_00286,71936.75
IAP_000212,2026-05-05,RM_0045,CL_00318,30400.81
IAP_001501,2026-05-11,RM_0043,CL_00482,5316.92
IAP_000916,2026-04-22,RM_0012,CL_00505,99853.49
IAP_000307,2026-05-11,RM_0040,CL_00641,35125.85
IAP_002196,2026-06-03,RM_0056,CL_00768,27085.87
IAP_000466,2026-05-15,RM_0002,CL_00177,31115.85
IAP_001359,2026-06-19,RM_0031,CL_00057,46191.47
IAP_000310,2026-05-29,RM_0033,CL_00837,26356.39
IAP_001367,2026-06-28,RM_0017,CL_00604,14532.27
IAP_000137,2026-05-02,RM_0047,CL_00895,45367.98
IAP_000809,2026-06-10,RM_0040,CL_00415,18028.59
IAP_000078,2026-05-08,RM_0037,CL_00345,33328.38
IAP_001575,2026-05-11,RM_0052,CL_00731,26770.81
IAP_000268,2026-04-29,RM_0043,CL_00033,29389.29
IAP_002111,2026-06-24,RM_0049,CL_00166,59558.72
IAP_001579,2026-05-01,RM_0041,CL_00379,8810.47
IAP_000950,2026-06-26,RM_0033,CL_00186,8665.98
IAP_001138,2026-07-04,RM_0039,CL_00791,60262.3
IAP_000974,2026-06-27,RM_0007,CL_00819,47811.58
IAP_001023,2026-06-02,RM_0045,CL_00635,72030.51
IAP_001495,2026-06-19,RM_0017,CL_00419,15030.7
IAP_001746,2026-06-03,RM_0006,CL_00078,67400.14
IAP_000483,2026-06-22,RM_0015,CL_00063,97190.53
IAP_000551,2026-06-23,RM_0033,CL_00008,87286.11
IAP_001265,2026-04-21,RM_0039,CL_00802,31190.19
IAP_001062,2026-04-27,RM_0022,CL_00089,50793.58
IAP_000063,2026-06-12,RM_0002,CL_00183,83689.97
IAP_000650,2026-06-16,RM_0004,CL_00661,90214.09
IAP_001319,2026-04-08,RM_0015,CL_00184,59931.92
IAP_001030,2026-06-20,RM_0052,CL_00385,23243.39
IAP_001037,2026-05-27,RM_0031,CL_00057,43057.14
IAP_002085,2026-04-25,RM_0060,CL_00021,71206.03
IAP_000921,2026-06-08,RM_0045,CL_00660,34971.48
IAP_000266,2026-07-03,RM_0004,CL_00661,20881.88
IAP_000139,2026-04-30,RM_0017,CL_00250,34803.53
IAP_000962,2026-05-05,RM_0017,CL_00336,42356.83
IAP_000390,2026-04-30,RM_0037,CL_00695,76655.13
IAP_000442,2026-04-17,RM_0044,CL_00900,9955.46
IAP_001017,2026-04-13,RM_0017,CL_00373,75265.56
IAP_002115,2026-05-23,RM_0027,CL_00087,28220.38
IAP_000565,2026-06-29,RM_0004,CL_00810,70850.9
IAP_001431,2026-06-10,RM_0004,CL_00560,83142.86
IAP_002194,2026-06-14,RM_0060,CL_00344,54270.58
IAP_000502,2026-05-19,RM_0052,CL_00870,52316.2
IAP_001256,2026-06-22,RM_0057,CL_00752,17478.74
IAP_000957,2026-04-11,RM_0002,CL_00376,87715.08
IAP_001642,2026-05-12,RM_0054,CL_00559,48799.64
IAP_000153,2026-05-25,RM_0009,CL_00041,43256.67
IAP_000430,2026-05-16,RM_0016,CL_00642,38364.44
IAP_000292,2026-06-03,RM_0039,CL_00874,7288.37
IAP_001797,2026-04-16,RM_0001,CL_00783,20071.27
IAP_002099,2026-04-28,RM_0047,CL_00603,99091.74
IAP_000587,2026-04-07,RM_0049,CL_00114,8906.17
IAP_001130,2026-06-18,RM_0049,CL_00764,93237.66
IAP_000457,2026-06-14,RM_0047,CL_00538,13491.67
IAP_001466,2026-06-19,RM_0002,CL_00316,50160.55
IAP_000912,2026-04-08,RM_0052,CL_00564,42943.7
IAP_002140,2026-05-22,RM_0045,CL_00120,47648.32
IAP_001744,2026-06-06,RM_0028,CL_00832,5503.03
IAP_001608,2026-06-01,RM_0053,CL_00753,49899.83
IAP_000331,2026-06-15,RM_0002,CL_00433,96634.05
IAP_001362,2026-05-29,RM_0008,CL_00722,90761.39
IAP_000552,2026-05-21,RM_0001,CL_00855,7793.83
IAP_001499,2026-05-17,RM_0040,CL_00181,2182.31
