Insurance_ID,Date,rm_id,client_id,Insurance_Amount
Insurance_000922,2026-04-29,RM_0004,CL_00668,91897.33
Insurance_000644,2026-04-11,RM_0031,CL_00654,182295.99
Insurance_000282,2026-06-20,RM_0045,CL_00387,107607.54
Insurance_002236,2026-05-27,RM_0006,CL_00512,68197.37
Insurance_000459,2026-04-09,RM_0043,CL_00528,78815.12
Insurance_001828,2026-06-09,RM_0028,CL_00549,117125.93
Insurance_001640,2026-06-02,RM_0004,CL_00572,171765.31
Insurance_001696,2026-07-01,RM_0028,CL_00009,7320.23
Insurance_000051,2026-05-09,RM_0004,CL_00205,105714.97
Insurance_000110,2026-06-04,RM_0012,CL_00593,46595.87
Insurance_000130,2026-04-10,RM_0002,CL_00078,97784.83
Insurance_001027,2026-04-26,RM_0022,CL_00413,77353.33
Insurance_000840,2026-06-28,RM_0015,CL_00720,66843.58
Insurance_001839,2026-04-07,RM_0006,CL_00265,71077.74
Insurance_000832,2026-04-14,RM_0028,CL_00163,174603.44
Insurance_000520,2026-05-23,RM_0009,CL_00339,30808.35
Insurance_001620,2026-05-25,RM_0056,CL_00428,135801.83
Insurance_000080,2026-07-01,RM_0007,CL_00359,62970.9
Insurance_001448,2026-06-28,RM_0027,CL_00671,177220.7
Insurance_002421,2026-07-03,RM_0010,CL_00795,95998.11
Insurance_001139,2026-05-12,RM_0017,CL_00705,33414.4
Insurance_000261,2026-04-24,RM_0035,CL_00513,34013.14
Insurance_002220,2026-06-19,RM_0040,CL_00334,18322.83
Insurance_002088,2026-05-01,RM_0012,CL_00451,143364.08
Insurance_001293,2026-05-31,RM_0008,CL_00661,175946.89
Insurance_001007,2026-04-12,RM_0027,CL_00286,160343.03
Insurance_001055,2026-04-19,RM_0039,CL_00529,197734.01
Insurance_002003,2026-07-03,RM_0033,CL_00434,38337.71
Insurance_001322,2026-04-10,RM_0045,CL_00806,143070.27
Insurance_000141,2026-04-27,RM_0016,CL_00399,195727.66
Insurance_000380,2026-06-28,RM_0028,CL_00527,162117.72
Insurance_001585,2026-04-29,RM_0043,CL_00591,184761.71
Insurance_000968,2026-04-28,RM_0058,CL_00652,169314.2
Insurance_001609,2026-05-18,RM_0060,CL_00544,122805.45
Insurance_000467,2026-06-03,RM_0006,CL_00472,8537.72
Insurance_000244,2026-06-07,RM_0044,CL_00151,138257.29
Insurance_001104,2026-04-19,RM_0041,CL_00617,133568.58
Insurance_002200,2026-05-17,RM_0017,CL_00602,50128.45
Insurance_002140,2026-06-16,RM_0045,CL_00318,82680.62
Insurance_001051,2026-06-21,RM_0057,CL_00167,152346.54
Insurance_001958,2026-06-04,RM_0028,CL_00061,174259.34
Insurance_001978,2026-04-18,RM_0028,CL_00163,78789.89
Insurance_000935,2026-05-26,RM_0047,CL_00603,70550.83
Insurance_001093,2026-06-21,RM_0054,CL_00816,165385.62
Insurance_002425,2026-06-07,RM_0017,CL_00255,180940.32
Insurance_000769,2026-06-27,RM_0040,CL_00051,60321.71
Insurance_001665,2026-05-07,RM_0058,CL_00543,5701.24
Insurance_001769,2026-04-08,RM_0047,CL_00632,140077.36
Insurance_000850,2026-06-14,RM_0053,CL_00158,183922.82
Insurance_002228,2026-04-29,RM_0017,CL_00486,182766.04
Insurance_001928,2026-06-14,RM_0002,CL_00010,187085.99
Insurance_000587,2026-05-08,RM_0052,CL_00530,80674.58
Insurance_001195,2026-04-25,RM_0039,CL_00175,58958.87
Insurance_002098,2026-05-05,RM_0059,CL_00135,78036.34
Insurance_000326,2026-07-01,RM_0001,CL_00330,148738.32
Insurance_001707,2026-04-22,RM_0043,CL_00482,132547.76
Insurance_000472,2026-06-23,RM_0017,CL_00419,100335.17
Insurance_000122,2026-04-05,RM_0053,CL_00148,190028.29
Insurance_000166,2026-05-16,RM_0058,CL_00800,112394.86
Insurance_000569,2026-04-15,RM_0028,CL_00275,27692.77
Insurance_000310,2026-04-19,RM_0057,CL_00440,38175.32
Insurance_000997,2026-04-11,RM_0004,CL_00896,127515.79
Insurance_000183,2026-05-21,RM_0004,CL_00896,30816.9
Insurance_000952,2026-06-11,RM_0004,CL_00396,161513.99
Insurance_002478,2026-06-23,RM_0027,CL_00371,189683.11
Insurance_000353,2026-05-12,RM_0040,CL_00606,117719.75
Insurance_000883,2026-05-19,RM_0049,CL_00548,87796.37
