rm_id,Region,Client_ID,Client_Segment,Transaction_id,Transaction_date,Delivery_Equity_Revenue_HouseCall,Delivery_Equity_Revenue_NonHouseCall,Cash_Intraday_Revenue_HouseCall,Cash_Intraday_Revenue_NonHouseCall,FnO_Revenue_NonHouseCall,FnO_Revenue_HouseCall,Commodity_Revenue_HouseCall,Commodity_Revenue_NonHouseCall,offline_revenue,online_revenue,net_revenue
RM_0028,South,CL_00061,HNI,TXN_0003479,2026-04-07,0.0,21072.09,0.0,0.0,20513.21,7696.68,0.0,0.0,7696.68,41585.3,49281.98
RM_0043,Central,CL_00684,Retail,TXN_0006243,2026-04-11,0.0,10935.87,0.0,11558.48,0.0,0.0,20736.06,0.0,20736.06,22494.35,43230.41
RM_0045,East,CL_00577,Retail,TXN_0010674,2026-04-24,0.0,0.0,21004.84,0.0,0.0,0.0,0.0,0.0,21004.84,0.0,21004.84
RM_0016,East,CL_00826,Ultra HNI,TXN_0009669,2026-06-15,0.0,15790.89,14084.39,0.0,0.0,0.0,16082.7,0.0,30167.09,15790.89,45957.98
RM_0017,East,CL_00022,Retail,TXN_0013260,2026-05-31,17616.26,0.0,0.0,0.0,17599.23,0.0,13872.53,0.0,31488.79,17599.23,49088.02
RM_0058,West,CL_00266,Ultra HNI,TXN_0003371,2026-06-03,0.0,0.0,0.0,0.0,7155.9,0.0,6351.55,0.0,6351.55,7155.9,13507.45
RM_0044,South,CL_00714,HNI,TXN_0005779,2026-05-20,0.0,18450.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18450.95,18450.95
RM_0002,North,CL_00601,HNI,TXN_0007909,2026-05-07,0.0,5509.91,16212.81,0.0,0.0,0.0,0.0,8769.09,16212.81,14279.0,30491.81
RM_0028,South,CL_00712,Retail,TXN_0011877,2026-06-11,0.0,11186.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11186.76,11186.76
RM_0001,East,CL_00051,Retail,TXN_0002326,2026-04-14,0.0,2824.03,0.0,14561.77,16950.68,0.0,0.0,4896.36,0.0,39232.84,39232.84
RM_0004,South,CL_00896,Ultra HNI,TXN_0014243,2026-06-09,17759.27,0.0,16316.98,0.0,0.0,21743.34,0.0,0.0,55819.59,0.0,55819.59
RM_0015,West,CL_00726,Retail,TXN_0002048,2026-05-31,0.0,0.0,0.0,0.0,0.0,0.0,17727.26,0.0,17727.26,0.0,17727.26
RM_0056,North,CL_00105,HNI,TXN_0008804,2026-06-16,10802.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10802.14,0.0,10802.14
RM_0053,North,CL_00158,HNI,TXN_0003753,2026-06-15,0.0,0.0,9384.47,0.0,9812.17,0.0,0.0,21407.19,9384.47,31219.36,40603.83
RM_0031,North,CL_00292,HNI,TXN_0004965,2026-04-27,0.0,0.0,12088.47,0.0,1429.38,4122.81,11389.66,0.0,27600.94,1429.38,29030.32
RM_0015,West,CL_00437,Retail,TXN_0007225,2026-04-30,0.0,17482.63,16110.8,0.0,0.0,0.0,2549.97,0.0,18660.77,17482.63,36143.4
RM_0057,West,CL_00167,HNI,TXN_0010422,2026-06-17,5606.38,0.0,2072.74,0.0,17938.34,6692.84,0.0,0.0,14371.96,17938.34,32310.3
RM_0004,South,CL_00460,Retail,TXN_0010174,2026-06-02,0.0,0.0,0.0,18363.1,0.0,0.0,0.0,10956.02,0.0,29319.12,29319.12
RM_0027,North,CL_00224,HNI,TXN_0004696,2026-04-18,4141.66,0.0,0.0,17948.79,0.0,0.0,0.0,0.0,4141.66,17948.79,22090.45
RM_0056,,CL_00891,HNI,TXN_0004179,2026-04-16,0.0,0.0,0.0,4008.22,15797.78,18280.27,0.0,0.0,18280.27,19806.0,38086.27
RM_0004,South,CL_00647,HNI,TXN_0005387,2026-05-12,0.0,0.0,0.0,0.0,0.0,0.0,3451.04,0.0,3451.04,0.0,3451.04
RM_0057,West,CL_00883,Ultra HNI,TXN_0005896,2026-06-15,0.0,2251.99,0.0,0.0,7362.87,0.0,0.0,0.0,0.0,9614.86,9614.86
RM_0022,North,CL_00290,Retail,TXN_0013738,2026-04-07,0.0,0.0,0.0,11156.83,0.0,562.15,7766.51,1370.89,8328.66,12527.72,20856.38
RM_0012,East,CL_00742,Retail,TXN_0008301,2026-05-31,516.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.08,0.0,516.08
RM_0027,North,CL_00331,Retail,TXN_0013865,2026-05-14,0.0,21683.39,0.0,0.0,0.0,0.0,0.0,15493.24,0.0,37176.63,37176.63
RM_0009,West,CL_00339,HNI,TXN_0011724,2026-06-17,20235.46,17746.51,0.0,13162.29,0.0,0.0,0.0,0.0,20235.46,30908.8,51302.35
RM_0004,South,CL_00560,Corporate,TXN_0005173,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9069.9,0.0,9069.9,9069.9
RM_0033,West,CL_00745,Retail,TXN_0014252,2026-05-29,0.0,0.0,0.0,0.0,0.0,0.0,19027.54,0.0,19027.54,0.0,19027.54
RM_0058,West,CL_00266,Ultra HNI,TXN_0004530,2026-04-25,0.0,0.0,1563.07,10637.02,0.0,0.0,0.0,0.0,1563.07,10637.02,12200.09
RM_0045,East,CL_00922,Retail,TXN_0000388,2026-04-13,0.0,12052.84,19492.18,0.0,0.0,0.0,17335.42,21087.86,36827.6,33140.7,69968.3
RM_0049,East,CL_00360,HNI,TXN_0013844,2026-06-18,0.0,18793.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18793.85,18793.85
RM_0049,East,CL_00114,HNI,TXN_0011303,2026-05-07,0.0,0.0,0.0,11394.1,18049.45,0.0,1598.0,0.0,1598.0,29443.55,31041.55
RM_0001,East,CL_00004,Retail,TXN_0000939,2026-06-06,0.0,0.0,0.0,15240.05,0.0,0.0,12521.72,0.0,12521.72,15240.05,27761.77
RM_0016,East,CL_00503,HNI,TXN_0007170,2026-05-02,20127.15,0.0,0.0,0.0,0.0,12055.52,0.0,0.0,32182.67,0.0,32182.67
RM_0064,South,CL_00051,Retail,TXN_0011288,2026-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11495.55,0.0,11495.55,11495.55
RM_0049,East,CL_00817,Retail,TXN_0014725,2026-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19314.09,0.0,19314.09,19314.09
RM_0053,North,CL_00633,Ultra HNI,TXN_0000507,2026-06-17,0.0,0.0,5595.88,0.0,11004.64,18122.63,0.0,10599.68,23718.51,21604.32,45602.76
RM_0056,North,CL_00616,Retail,TXN_0006201,2026-05-09,9471.54,0.0,0.0,5655.47,0.0,6395.74,0.0,0.0,15867.28,5655.47,21522.75
RM_0040,Central,CL_00465,Retail,TXN_0010167,2026-04-11,0.0,2668.61,0.0,16621.25,0.0,0.0,0.0,0.0,0.0,19289.86,19289.86
RM_0039,East,CL_00175,Retail,TXN_0012599,2026-04-06,0.0,14238.29,1752.48,18508.32,0.0,0.0,0.0,0.0,1752.48,32746.61,34499.09
RM_0015,West,CL_00435,HNI,TXN_0012603,2026-04-26,2667.01,6491.29,12386.95,0.0,0.0,0.0,0.0,0.0,15053.96,6491.29,21545.25
RM_0008,South,CL_00023,HNI,TXN_0006942,2026-05-03,0.0,0.0,0.0,0.0,19031.29,20494.1,0.0,6362.57,20494.1,25393.86,45887.96
RM_0039,East,CL_00470,Retail,TXN_0008722,2026-06-08,21632.24,0.0,0.0,0.0,17132.67,1955.89,519.3,0.0,24107.43,17132.67,41386.53
RM_0007,South,CL_00819,HNI,TXN_0007550,2026-05-28,0.0,0.0,0.0,0.0,15395.12,0.0,0.0,0.0,0.0,15395.12,15395.12
RM_0017,East,CL_00070,Retail,TXN_0000331,2026-05-09,0.0,12146.51,0.0,0.0,0.0,0.0,20257.95,16467.02,20257.95,28613.53,48871.48
RM_0041,North,CL_00613,Retail,TXN_0002920,2026-04-08,0.0,0.0,0.0,0.0,0.0,15043.7,0.0,0.0,15043.7,0.0,15043.7
RM_0009,West,CL_00831,Retail,TXN_0004982,2026-04-24,0.0,0.0,18259.77,0.0,0.0,1360.62,0.0,0.0,19620.39,0.0,19620.39
RM_0045,East,CL_00809,Retail,TXN_0003482,2026-04-06,0.0,0.0,0.0,6465.27,0.0,0.0,0.0,0.0,0.0,6465.27,6465.27
RM_0028,South,CL_00605,Retail,TXN_0007933,2026-05-02,21693.89,0.0,0.0,0.0,0.0,0.0,19659.02,0.0,41352.91,0.0,41352.91
RM_0045,East,CL_00626,Retail,TXN_0010528,2026-05-28,0.0,746.69,8642.16,0.0,0.0,0.0,1433.0,0.0,10075.16,746.69,10821.85
RM_0015,West,CL_00028,HNI,TXN_0001110,2026-06-09,3729.79,0.0,4060.49,0.0,0.0,0.0,20836.19,12330.76,28626.47,12330.76,40957.23
RM_0058,West,CL_00021,HNI,TXN_0012473,2026-06-16,0.0,0.0,0.0,0.0,16572.98,0.0,0.0,0.0,0.0,16572.98,16572.98
RM_0047,Central,CL_00738,Retail,TXN_0002018,2026-05-04,0.0,18698.54,976.0,0.0,13030.41,3503.84,0.0,0.0,4479.84,31728.95,36208.79
RM_0057,West,CL_00289,HNI,TXN_0003654,2026-04-10,21994.36,0.0,0.0,0.0,21259.74,0.0,0.0,0.0,21994.36,21259.74,43254.1
RM_0058,West,CL_00466,HNI,TXN_0010500,2026-06-11,11807.68,0.0,13639.43,2780.01,0.0,0.0,18567.68,0.0,44014.79,2780.01,46794.8
RM_0002,North,CL_00030,HNI,TXN_0011996,2026-06-17,0.0,3089.75,0.0,0.0,5133.29,0.0,2178.69,0.0,2178.69,8223.04,10401.73
RM_0039,East,CL_00539,Retail,TXN_0012010,2026-05-01,0.0,6561.01,0.0,14088.01,0.0,6206.46,0.0,14417.19,6206.46,35066.21,41272.67
RM_0045,East,CL_00779,Corporate,TXN_0010897,2026-05-04,9141.91,0.0,13246.21,11421.42,0.0,0.0,0.0,0.0,22388.12,11421.42,33809.54
RM_0049,East,CL_00501,Retail,TXN_0006304,2026-04-10,3176.35,9297.39,0.0,0.0,0.0,0.0,0.0,0.0,3176.35,9297.39,12473.74
RM_0040,Central,CL_00334,HNI,TXN_0003150,2026-05-17,0.0,18286.74,0.0,0.0,0.0,0.0,1754.66,10244.11,1754.66,28530.85,30285.51
RM_0007,South,CL_00820,Retail,TXN_0003334,2026-04-12,17221.43,0.0,18962.98,0.0,8991.01,0.0,0.0,0.0,36184.41,8991.01,45175.42
RM_0045,East,CL_00290,Retail,TXN_0003157,2026-04-21,20000.05,0.0,11472.86,0.0,0.0,0.0,0.0,0.0,31472.91,0.0,31472.91
RM_0049,East,CL_00883,Ultra HNI,TXN_0005563,2026-04-12,0.0,4450.91,0.0,0.0,6113.84,21916.04,0.0,20246.54,21916.04,30811.29,52727.33
RM_0022,North,CL_00519,Ultra HNI,TXN_0014870,2026-05-07,0.0,0.0,0.0,17828.88,0.0,0.0,0.0,5256.75,0.0,23085.63,23085.63
RM_0033,West,CL_00745,Retail,TXN_0003863,2026-05-30,11237.5,0.0,0.0,0.0,0.0,7782.24,18224.42,0.0,37244.16,0.0,37244.16
RM_0053,North,CL_00249,Retail,TXN_0010024,2026-05-19,0.0,0.0,0.0,19742.88,0.0,10644.39,0.0,0.0,10644.39,19742.88,30387.27
RM_0033,West,CL_00540,Corporate,TXN_0014113,2026-04-25,0.0,18377.35,1439.46,20154.4,0.0,0.0,19594.89,0.0,21034.35,38531.75,59566.1
RM_0027,North,CL_00864,Retail,TXN_0014040,2026-06-10,0.0,0.0,10823.5,7336.54,0.0,0.0,12147.87,14417.99,22971.37,21754.53,44725.9
RM_0012,East,CL_00451,Retail,TXN_0000366,2026-06-12,7806.8,0.0,17008.64,0.0,8436.35,0.0,0.0,0.0,24815.44,8436.35,33251.79
RM_0057,West,CL_00686,Retail,TXN_0013514,2026-05-23,0.0,0.0,0.0,0.0,1597.8,0.0,0.0,4470.81,0.0,6068.61,6068.61
RM_0049,East,CL_00681,Retail,TXN_0012952,2026-06-04,0.0,15158.44,0.0,0.0,14349.02,0.0,0.0,0.0,0.0,29507.46,29507.46
RM_0047,Central,CL_00596,Retail,TXN_0008696,2026-04-15,0.0,16873.08,17471.45,0.0,0.0,0.0,3958.73,0.0,21430.18,16873.08,38303.26
RM_0016,East,CL_00319,Retail,TXN_0000196,2026-04-27,0.0,0.0,0.0,0.0,18077.59,0.0,7990.29,0.0,7990.29,18077.59,26067.88
RM_0041,North,CL_00379,Ultra HNI,TXN_0010172,2026-04-24,0.0,0.0,688.59,0.0,0.0,11844.87,0.0,0.0,12533.46,0.0,12533.46
RM_0012,East,CL_00225,Retail,TXN_0000052,2026-06-13,18594.04,11411.24,0.0,0.0,0.0,6084.76,0.0,0.0,24678.8,11411.24,36090.04
RM_0027,North,CL_00224,HNI,TXN_0000253,2026-04-18,0.0,10739.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10739.17,10739.17
RM_0027,North,CL_00563,Retail,TXN_0002571,2026-04-10,0.0,0.0,20379.11,0.0,14766.54,0.0,11223.29,0.0,31602.4,14766.54,46368.94
RM_0033,West,CL_00186,HNI,TXN_0004409,2026-06-01,17851.75,0.0,2149.19,0.0,0.0,0.0,0.0,0.0,20000.94,0.0,20000.94
RM_0027,North,CL_00224,HNI,TXN_0002149,2026-05-16,0.0,0.0,17116.97,0.0,0.0,0.0,16921.38,0.0,34038.35,0.0,34038.35
RM_0028,South,CL_00143,Retail,TXN_0001590,2026-05-27,0.0,8618.23,0.0,0.0,3623.35,13521.16,0.0,0.0,13521.16,12241.58,25762.74
