SIP_ID,Date,rm_id,client_id,SIP_Status,SIP_Amount
SIP_000623,2026-05-21,RM_0039,CL_00704,Active,16102.96
SIP_005015,2026-04-17,RM_0027,CL_00864,Active,8711.91
SIP_005194,2026-04-18,RM_0049,CL_00218,Stopped,47557.11
SIP_000618,2026-06-20,RM_0010,CL_00141,Stopped,15740.18
SIP_004792,2026-04-14,RM_0033,CL_00639,Active,4977.51
SIP_005273,2026-05-26,RM_0006,CL_00206,Paused,5570.26
SIP_004923,2026-06-17,RM_0039,CL_00760,Active,34167.15
SIP_003230,2026-05-08,RM_0058,CL_00673,Active,13375.63
SIP_003932,2026-04-27,RM_0039,CL_00821,Stopped,48670.67
SIP_005208,2026-06-21,RM_0028,CL_00100,Stopped,45411.81
SIP_004761,2026-05-04,RM_0009,CL_00499,Active,13426.72
SIP_004401,2026-04-18,RM_0004,CL_00896,Active,7130.15
SIP_002737,2026-04-20,RM_0028,CL_00043,Paused,33150.22
SIP_002594,2026-06-10,RM_0039,CL_00662,Active,45814.46
SIP_000352,2026-04-13,RM_0027,CL_00087,Stopped,10249.68
SIP_004581,2026-04-19,RM_0057,CL_00686,Paused,28826.3
SIP_004894,2026-04-29,RM_0047,CL_00632,Active,37963.92
SIP_004286,2026-06-06,RM_0009,CL_00831,Stopped,21785.54
SIP_000347,2026-05-28,RM_0045,CL_00587,Stopped,24073.29
SIP_005557,2026-06-03,RM_0006,CL_00340,Active,39310.19
SIP_001875,2026-04-19,RM_0015,CL_00709,Active,45201.03
SIP_004372,2026-06-02,RM_0033,CL_00701,Paused,39200.78
SIP_002999,2026-05-14,RM_0016,CL_00478,Paused,14532.55
SIP_003958,2026-04-10,RM_0041,CL_00745,Active,17214.54
SIP_004927,2026-04-29,RM_0047,CL_00017,Active,45777.32
SIP_000682,2026-06-03,RM_0049,CL_00166,Active,7191.55
SIP_003852,2026-05-07,RM_0015,CL_00812,Stopped,49346.87
SIP_004864,2026-05-10,RM_0028,CL_00605,Stopped,36161.4
SIP_000619,2026-06-06,RM_0060,CL_00544,Active,31273.4
SIP_000972,2026-05-30,RM_0039,CL_00242,Active,25628.18
SIP_003290,2026-04-15,RM_0006,CL_00553,,29938.98
SIP_002506,2026-05-26,RM_0041,CL_00379,Active,32511.23
SIP_002574,2026-06-10,RM_0022,CL_00026,Active,7829.0
SIP_002549,2026-04-16,RM_0035,CL_00663,Paused,17654.6
SIP_001593,2026-07-01,RM_0028,CL_00333,Active,28492.09
SIP_005573,2026-04-23,RM_0033,CL_00462,Stopped,2597.9
SIP_000505,2026-04-25,RM_0006,CL_00780,Active,49668.41
SIP_004565,2026-06-24,RM_0015,CL_00162,Active,32395.54
SIP_001892,2026-05-29,RM_0002,CL_00601,Paused,17600.52
SIP_000032,2026-04-23,RM_0043,CL_00856,Stopped,31925.51
SIP_001245,2026-06-21,RM_0041,CL_00589,Stopped,9921.44
SIP_004795,2026-06-10,RM_0022,CL_00899,Stopped,7998.92
SIP_003509,2026-05-04,RM_0049,CL_00166,Stopped,20962.18
SIP_002579,2026-05-13,RM_0039,CL_00547,Active,27596.21
SIP_002068,2026-05-27,RM_0007,CL_00871,Active,47413.78
SIP_005294,2026-05-26,RM_0060,CL_00344,Active,1143.95
SIP_003120,2026-04-24,RM_0039,CL_00874,Stopped,7513.6
SIP_000472,2026-05-21,RM_0007,CL_00485,Active,29521.42
SIP_003361,2026-05-21,RM_0017,CL_00712,Paused,30299.25
SIP_001805,2026-06-22,RM_0004,CL_00504,Active,40050.42
SIP_002041,2026-04-05,RM_0049,CL_00126,Active,7171.84
