TGS_ID,Date,rm_id,client_id,TGS_Amount
TGS_000607,2026-06-07,RM_0016,CL_00734,55758.76
TGS_001935,2026-06-16,RM_0031,CL_00320,22927.75
TGS_001294,2026-06-23,RM_0039,CL_00704,40327.25
TGS_000549,2026-04-15,RM_0002,CL_00535,65222.83
TGS_000570,2026-06-24,RM_0002,CL_00055,61171.05
TGS_000962,2026-05-16,RM_0040,CL_00181,1172.25
TGS_001242,2026-06-17,RM_0004,CL_00560,74479.75
TGS_000426,2026-06-21,RM_0021,CL_00209,28311.29
TGS_000488,2026-05-08,RM_0045,CL_00079,3148.37
TGS_001368,2026-05-14,RM_0044,CL_00151,61240.32
TGS_002571,2026-04-21,RM_0028,CL_00061,27822.23
TGS_000113,2026-04-16,RM_0012,CL_00593,64148.21
TGS_000322,2026-05-22,RM_0053,CL_00657,52871.82
TGS_001147,2026-04-21,RM_0049,CL_00094,50207.11
TGS_001137,2026-04-06,RM_0001,CL_00051,28998.01
TGS_000020,2026-05-19,RM_0001,CL_00855,1818.61
TGS_001669,2026-06-12,RM_0039,CL_00539,56197.68
TGS_002621,2026-06-14,RM_0033,CL_00703,34179.38
TGS_000260,2026-04-21,RM_0028,CL_00100,45919.67
TGS_000143,2026-06-17,RM_0028,CL_00243,54136.95
TGS_002263,2026-04-19,RM_0047,CL_00738,14936.0
TGS_002282,2026-06-29,RM_0058,CL_00800,32857.85
TGS_000925,2026-04-11,RM_0006,CL_00405,5382.14
TGS_000099,2026-06-14,RM_0054,CL_00816,38499.67
TGS_000164,2026-05-18,RM_0028,CL_00243,26650.9
TGS_000740,2026-05-26,RM_0028,CL_00889,11581.25
TGS_000087,2026-06-18,RM_0057,CL_00752,9312.57
TGS_000700,2026-05-08,RM_0049,CL_00674,26631.5
TGS_000756,18-04-2026,RM_0022,CL_00511,37206.81
TGS_001262,2026-05-09,RM_0049,CL_00211,39119.01
TGS_002819,2026-05-26,RM_0006,CL_00646,53947.04
TGS_002588,2026-05-19,RM_0015,CL_00709,66189.06
TGS_001598,2026-06-26,RM_0057,CL_00093,14276.22
TGS_002173,2026-05-27,RM_0008,CL_00713,61151.77
TGS_001028,2026-05-21,RM_0049,CL_00302,67882.83
TGS_000059,2026-05-21,RM_0058,CL_00673,46244.98
TGS_001136,2026-06-04,RM_0039,CL_00623,7197.31
TGS_002302,2026-06-01,RM_0058,CL_00574,7908.25
TGS_001489,2026-04-28,RM_0040,CL_00036,72004.23
TGS_001808,2026-06-29,RM_0002,CL_00403,26594.29
TGS_002138,2026-05-08,RM_0058,CL_00509,48149.86
TGS_000887,2026-04-17,RM_0045,CL_00599,28997.22
TGS_001153,2026-05-22,RM_0001,CL_00330,10217.66
TGS_000347,2026-06-26,RM_0058,CL_00597,50028.87
TGS_002726,2026-04-19,RM_0004,CL_00168,3920.98
TGS_002786,2026-06-30,RM_0028,CL_00045,55012.53
TGS_002133,2026-04-06,RM_0002,CL_00433,63942.54
TGS_000502,2026-05-09,RM_0033,CL_00645,67394.5
TGS_002117,12-06-2026,RM_0028,CL_00352,56212.23
TGS_000910,2026-05-07,RM_0039,CL_00412,54032.12
TGS_002727,2026-06-06,RM_0049,CL_00610,60066.29
TGS_002996,2026-05-07,RM_0039,CL_00175,35514.63
TGS_001283,2026-06-01,RM_0028,CL_00163,29515.7
TGS_001025,2026-05-30,RM_0052,CL_00233,59384.36
TGS_001238,2026-05-22,RM_0056,CL_00194,11380.65
TGS_001984,2026-06-12,RM_0060,CL_00344,69896.9
TGS_000014,2026-05-08,RM_0049,CL_00508,1074.88
TGS_000618,2026-05-29,RM_0058,CL_00473,42828.64
TGS_001428,2026-06-14,RM_0017,CL_00840,11185.36
TGS_000155,2026-04-13,RM_0006,CL_00686,52567.93
TGS_000365,2026-06-15,RM_0039,CL_00874,63259.2
TGS_001414,2026-04-25,RM_0049,CL_00681,31304.98
TGS_001231,2026-05-28,RM_0037,CL_00678,8301.15
TGS_002909,2026-05-21,RM_0049,CL_00817,49454.36
TGS_001277,2026-04-13,RM_0049,CL_00136,29573.03
TGS_001716,2026-05-05,RM_0028,CL_00464,66450.48
TGS_001027,2026-06-19,RM_0004,CL_00377,10568.54
TGS_001325,2026-06-11,RM_0041,CL_00860,10253.44
TGS_000558,2026-04-23,RM_0058,CL_00516,29993.19
TGS_000393,2026-05-29,RM_0053,CL_00557,67106.86
TGS_002076,2026-05-30,RM_0033,CL_00402,59472.21
TGS_000989,2026-05-27,RM_0045,CL_00387,19200.63
TGS_002853,2026-04-08,RM_0006,CL_00553,21364.44
TGS_000450,2026-04-28,RM_0028,CL_00776,31404.56
TGS_001802,2026-06-03,RM_0049,CL_00501,69285.21
TGS_000589,2026-06-02,RM_0060,CL_00523,11061.92
TGS_000651,2026-06-15,RM_0002,CL_00213,2834.2
TGS_001854,2026-04-20,RM_0028,CL_00243,2662.78
TGS_002687,2026-05-27,RM_0027,CL_00383,18581.32
TGS_002740,2026-04-15,RM_0049,CL_00409,38039.86
TGS_000061,2026-04-20,RM_0015,CL_00726,49668.74
TGS_001420,2026-06-02,RM_0027,CL_00426,7308.53
TGS_002616,2026-06-02,RM_0041,CL_00296,31745.21
TGS_000942,2026-07-01,RM_0057,CL_00289,18180.37
TGS_000662,2026-05-16,RM_0017,CL_00757,18346.61
TGS_002140,2026-05-18,RM_0008,CL_00454,45885.93
TGS_000296,2026-06-11,RM_0017,CL_00604,50169.75
TGS_002805,2026-04-08,RM_0049,CL_00653,68322.86
TGS_002411,2026-05-22,RM_0027,CL_00362,58465.36
TGS_002739,2026-05-06,RM_0007,CL_00452,62078.2
TGS_000917,2026-04-06,RM_0049,CL_00592,40383.55
TGS_002358,2026-04-08,RM_0004,CL_00661,68982.79
TGS_002975,2026-05-15,RM_0053,CL_00782,30020.93
